Benchmark,dotnetcore_nollvm,mono-mono-981da38038775e963db88c40c525aaafb277ff40_nollvm,mono-mono-981da38038775e963db88c40c525aaafb277ff40_nollvm-interpreter
System.Globalization.Tests.Perf_NumberCultureInfo.ToString(culturestring: da),1.00,1.00,1.05,
System.Globalization.Tests.Perf_NumberCultureInfo.ToString(culturestring: fr),1.00,1.00,0.99,
System.Globalization.Tests.Perf_NumberCultureInfo.ToString(culturestring: ja),1.00,1.00,1.04,
Benchstone.BenchF.NewtR.Test,1.00,1.00,0.98,
System.Collections.IndexerSetReverse<Int32>.Array(Size: 512),1.00,1.00,1.00,
System.Collections.IndexerSetReverse<Int32>.Span(Size: 512),1.00,1.00,1.01,
System.Collections.IndexerSetReverse<Int32>.List(Size: 512),1.00,1.00,1.02,
System.Collections.IndexerSetReverse<Int32>.IList(Size: 512),1.00,1.00,1.01,
MicroBenchmarks.Serializers.Binary_ToStream<Location>.BinaryFormatter_,1.00,1.00,1.01,
MicroBenchmarks.Serializers.Binary_ToStream<Location>.ProtoBuffNet,1.00,1.00,1.01,
MicroBenchmarks.Serializers.Binary_ToStream<Location>.MessagePack_,1.00,1.00,1.00,
MicroBenchmarks.Serializers.Xml_FromStream<LoginViewModel>.XmlSerializer_,1.00,1.00,1.05,
MicroBenchmarks.Serializers.Xml_FromStream<LoginViewModel>.DataContractSerializer_,1.00,1.00,0.99,
System.Threading.Tests.Perf_SpinLock.EnterExit,1.00,1.00,1.05,
System.Threading.Tests.Perf_SpinLock.TryEnterExit,1.00,1.00,0.96,
System.Threading.Tests.Perf_SpinLock.TryEnter_Fail,SMALL,SMALL,SMALL,
MicroBenchmarks.Serializers.Xml_ToStream<LoginViewModel>.XmlSerializer_,1.00,1.00,1.07,
MicroBenchmarks.Serializers.Xml_ToStream<LoginViewModel>.DataContractSerializer_,1.00,1.00,1.01,
System.Text.Json.Serialization.Tests.WriteJson<ImmutableDictionary<String; String>>.SerializeToStrin...,1.00,1.00,1.03,
System.Text.Json.Serialization.Tests.WriteJson<ImmutableDictionary<String; String>>.SerializeToUtf8B...,1.00,1.00,1.00,
System.Text.Json.Serialization.Tests.WriteJson<ImmutableDictionary<String; String>>.SerializeToStrea...,1.00,1.00,1.03,
System.Text.Json.Serialization.Tests.WriteJson<ImmutableDictionary<String; String>>.SerializeObjectP...,1.00,1.00,1.01,
System.IO.Pipes.Tests.Perf_NamedPipeStream_ServerInOut_ClientInOut.ReadWrite(size: 1000000),1.00,1.00,0.98,
System.Collections.IterateForNonGeneric<String>.ArrayList(Size: 512),1.00,1.00,0.96,
System.ConsoleTests.Perf_Console.OpenStandardInput,1.00,1.00,1.01,
System.ConsoleTests.Perf_Console.OpenStandardOutput,1.00,1.00,0.98,
System.ConsoleTests.Perf_Console.OpenStandardError,1.00,1.00,1.00,
System.ConsoleTests.Perf_Console.ForegroundColor,1.00,1.00,1.00,
System.ConsoleTests.Perf_Console.BackgroundColor,1.00,1.00,1.03,
System.ConsoleTests.Perf_Console.ResetColor,1.00,1.00,1.03,
SIMD.ConsoleMandel.ScalarFloatSinglethreadRaw,1.00,1.00,1.01,
SIMD.ConsoleMandel.ScalarFloatSinglethreadADT,1.00,1.00,1.00,
SIMD.ConsoleMandel.ScalarDoubleSinglethreadRaw,1.00,1.00,0.98,
SIMD.ConsoleMandel.ScalarDoubleSinglethreadADT,1.00,1.00,0.98,
SIMD.ConsoleMandel.VectorFloatSinglethreadRaw,1.00,1.00,1.01,
SIMD.ConsoleMandel.VectorFloatSinglethreadADT,1.00,1.00,0.97,
SIMD.ConsoleMandel.VectorDoubleSinglethreadRaw,1.00,1.00,0.97,
SIMD.ConsoleMandel.VectorDoubleSinglethreadADT,1.00,1.00,1.03,
BenchmarksGame.KNucleotide_9.RunBench,1.00,1.00,1.00,
System.Tests.Perf_Single.Parse(value: "-3.4028235E+38"),1.00,1.00,1.02,
System.Tests.Perf_Single.TryParse(value: "-3.4028235E+38"),1.00,1.00,1.00,
System.Tests.Perf_Single.Parse(value: "12345"),1.00,1.00,0.97,
System.Tests.Perf_Single.TryParse(value: "12345"),1.00,1.00,1.02,
System.Tests.Perf_Single.Parse(value: "3.4028235E+38"),1.00,1.00,0.98,
System.Tests.Perf_Single.TryParse(value: "3.4028235E+38"),1.00,1.00,1.01,
System.Tests.Perf_Single.IsNaN(value: NaN),1.00,1.00,1.03,
System.Tests.Perf_Single.ToStringWithFormat(value: -3.4028235E+38; format: "E"),1.00,1.00,0.96,
System.Tests.Perf_Single.ToStringWithFormat(value: -3.4028235E+38; format: "F50"),1.00,1.00,0.94,
System.Tests.Perf_Single.ToStringWithFormat(value: -3.4028235E+38; format: "G"),1.00,1.00,0.97,
System.Tests.Perf_Single.ToStringWithFormat(value: -3.4028235E+38; format: "G17"),1.00,1.00,0.94,
System.Tests.Perf_Single.ToStringWithFormat(value: -3.4028235E+38; format: "R"),1.00,1.00,0.98,
System.Tests.Perf_Single.ToStringWithCultureInfo(value: -3.4028235E+38; culture: zh),1.00,1.00,1.07,
System.Tests.Perf_Single.ToString(value: -3.4028235E+38),1.00,1.00,1.05,
System.Tests.Perf_Single.IsNaN(value: 0),1.00,1.00,1.00,
System.Tests.Perf_Single.ToStringWithFormat(value: 12345; format: "E"),1.00,1.00,0.97,
System.Tests.Perf_Single.ToStringWithFormat(value: 12345; format: "F50"),1.00,1.00,1.01,
System.Tests.Perf_Single.ToStringWithFormat(value: 12345; format: "G"),1.00,1.00,1.02,
System.Tests.Perf_Single.ToStringWithFormat(value: 12345; format: "G17"),1.00,1.00,0.99,
System.Tests.Perf_Single.ToStringWithFormat(value: 12345; format: "R"),1.00,1.00,1.03,
System.Tests.Perf_Single.ToStringWithCultureInfo(value: 12345; culture: zh),1.00,1.00,1.01,
System.Tests.Perf_Single.ToString(value: 12345),1.00,1.00,1.03,
System.Tests.Perf_Single.ToStringWithFormat(value: 3.4028235E+38; format: "E"),1.00,1.00,1.06,
System.Tests.Perf_Single.ToStringWithFormat(value: 3.4028235E+38; format: "F50"),1.00,1.00,0.97,
System.Tests.Perf_Single.ToStringWithFormat(value: 3.4028235E+38; format: "G"),1.00,1.00,0.98,
System.Tests.Perf_Single.ToStringWithFormat(value: 3.4028235E+38; format: "G17"),1.00,1.00,1.02,
System.Tests.Perf_Single.ToStringWithFormat(value: 3.4028235E+38; format: "R"),1.00,1.00,1.01,
System.Tests.Perf_Single.ToStringWithCultureInfo(value: 3.4028235E+38; culture: zh),1.00,1.00,0.97,
System.Tests.Perf_Single.ToString(value: 3.4028235E+38),1.00,1.00,0.98,
System.Collections.Tests.Add_Remove_SteadyState<String>.ConcurrentBag(Count: 512),1.00,1.00,1.26,
System.Collections.Tests.Add_Remove_SteadyState<String>.ConcurrentQueue(Count: 512),1.00,1.00,1.00,
System.Collections.Tests.Add_Remove_SteadyState<String>.ConcurrentStack(Count: 512),1.00,1.00,1.00,
System.Collections.Tests.Add_Remove_SteadyState<String>.Queue(Count: 512),1.00,1.00,1.00,
System.Collections.Tests.Add_Remove_SteadyState<String>.Stack(Count: 512),1.00,1.00,0.98,
Benchstone.BenchI.BenchE.Test,1.00,1.00,1.00,
System.Tests.Perf_Byte.Parse(value: "0"),1.00,1.00,0.96,
System.Tests.Perf_Byte.TryParse(value: "0"),1.00,1.00,1.03,
System.Tests.Perf_Byte.ToString(value: 0),SMALL,SMALL,SMALL,
System.Tests.Perf_Byte.Parse(value: "255"),1.00,1.00,1.06,
System.Tests.Perf_Byte.TryParse(value: "255"),1.00,1.00,1.04,
System.Tests.Perf_Byte.ToString(value: 255),1.00,1.00,1.04,
Inlining.NoThrowInline.Test,SMALL,SMALL,SMALL,
System.Text.Json.Serialization.Tests.WriteJson<MyEventsListerViewModel>.SerializeToString,1.00,1.00,0.95,
System.Text.Json.Serialization.Tests.WriteJson<MyEventsListerViewModel>.SerializeToUtf8Bytes,1.00,1.00,1.03,
System.Text.Json.Serialization.Tests.WriteJson<MyEventsListerViewModel>.SerializeToStream,1.00,1.00,0.95,
System.Text.Json.Serialization.Tests.WriteJson<MyEventsListerViewModel>.SerializeObjectProperty,1.00,1.00,0.99,
System.Text.Json.Serialization.Tests.ReadPreservedReferences<SimpleStructWithProperties>.Deserialize...,1.00,1.00,1.01,
System.Text.Json.Serialization.Tests.ReadPreservedReferences<SimpleStructWithProperties>.NewtonsoftD...,1.00,1.00,1.00,
System.Text.Json.Serialization.Tests.ReadPreservedReferences<SimpleStructWithProperties>.Deserialize...,1.00,1.00,1.01,
System.Text.Json.Serialization.Tests.ReadPreservedReferences<SimpleStructWithProperties>.NewtonsoftD...,1.00,1.00,1.01,
System.Tests.Perf_Type.GetTypeFromHandle,SMALL,SMALL,SMALL,
System.Tests.Perf_Type.op_Equality,SMALL,SMALL,SMALL,
System.IO.Tests.Perf_File.Delete,1.00,1.00,0.98,
System.IO.Tests.Perf_File.Exists,1.00,1.00,1.01,
BenchmarksGame.Fasta_1.RunBench,1.00,1.00,1.03,
System.Text.Json.Serialization.Tests.WriteJson<BinaryData>.SerializeToString,1.00,1.00,1.01,
System.Text.Json.Serialization.Tests.WriteJson<BinaryData>.SerializeToUtf8Bytes,1.00,1.00,1.01,
System.Text.Json.Serialization.Tests.WriteJson<BinaryData>.SerializeToStream,1.00,1.00,0.96,
System.Text.Json.Serialization.Tests.WriteJson<BinaryData>.SerializeObjectProperty,1.00,1.00,1.00,
Benchstone.BenchI.Array2.Test,1.00,1.00,1.00,
System.Collections.IndexerSet<String>.Array(Size: 512),1.00,1.00,0.96,
System.Collections.IndexerSet<String>.Span(Size: 512),1.00,1.00,0.99,
System.Collections.IndexerSet<String>.List(Size: 512),1.00,1.00,1.00,
System.Collections.IndexerSet<String>.IList(Size: 512),1.00,1.00,1.03,
System.Collections.IndexerSet<String>.Dictionary(Size: 512),1.00,1.00,1.03,
System.Collections.IndexerSet<String>.SortedList(Size: 512),1.00,1.00,1.00,
System.Collections.IndexerSet<String>.SortedDictionary(Size: 512),1.00,1.00,0.97,
System.Collections.IndexerSet<String>.ConcurrentDictionary(Size: 512),1.00,1.00,0.99,
System.Tests.Perf_UInt64.ToString(value: 0),SMALL,SMALL,SMALL,
System.Tests.Perf_UInt64.TryFormat(value: 0),1.00,1.00,0.97,
System.Tests.Perf_UInt64.ParseSpan(value: "0"),1.00,1.00,0.97,
System.Tests.Perf_UInt64.Parse(value: "0"),1.00,1.00,1.03,
System.Tests.Perf_UInt64.TryParse(value: "0"),1.00,1.00,1.06,
System.Tests.Perf_UInt64.TryParseHex(value: "0"),1.00,1.00,1.00,
System.Tests.Perf_UInt64.ToString(value: 12345),1.00,1.00,0.96,
System.Tests.Perf_UInt64.TryFormat(value: 12345),1.00,1.00,1.00,
System.Tests.Perf_UInt64.ParseSpan(value: "12345"),1.00,1.00,1.01,
System.Tests.Perf_UInt64.Parse(value: "12345"),1.00,1.00,1.02,
System.Tests.Perf_UInt64.TryParse(value: "12345"),1.00,1.00,0.90,
System.Tests.Perf_UInt64.ToString(value: 18446744073709551615),1.00,1.00,0.97,
System.Tests.Perf_UInt64.TryFormat(value: 18446744073709551615),1.00,1.00,0.99,
System.Tests.Perf_UInt64.ParseSpan(value: "18446744073709551615"),1.00,1.00,0.97,
System.Tests.Perf_UInt64.Parse(value: "18446744073709551615"),1.00,1.00,1.03,
System.Tests.Perf_UInt64.TryParse(value: "18446744073709551615"),1.00,1.00,1.00,
System.Tests.Perf_UInt64.TryParseHex(value: "3039"),1.00,1.00,1.02,
System.Tests.Perf_UInt64.TryParseHex(value: "FFFFFFFFFFFFFFFF"),1.00,1.00,1.01,
System.Collections.IterateForNonGeneric<Int32>.ArrayList(Size: 512),1.00,1.00,0.97,
System.Collections.CopyTo<Int32>.Array(Size: 2048),1.00,1.00,0.98,
System.Collections.CopyTo<Int32>.Span(Size: 2048),1.00,1.00,1.14,
System.Collections.CopyTo<Int32>.ReadOnlySpan(Size: 2048),1.00,1.00,0.96,
System.Collections.CopyTo<Int32>.Memory(Size: 2048),1.00,1.00,0.94,
System.Collections.CopyTo<Int32>.ReadOnlyMemory(Size: 2048),1.00,1.00,1.00,
System.Collections.CopyTo<Int32>.List(Size: 2048),1.00,1.00,0.99,
System.Collections.CopyTo<Int32>.ImmutableArray(Size: 2048),1.00,1.00,1.02,
System.IO.Tests.Perf_StreamWriter.WriteFormat,1.00,1.00,0.95,
System.IO.Tests.Perf_StreamWriter.WriteCharArray(writeLength: 2),1.00,1.00,0.98,
System.IO.Tests.Perf_StreamWriter.WritePartialCharArray(writeLength: 2),1.00,1.00,0.99,
System.IO.Tests.Perf_StreamWriter.WriteString(writeLength: 2),1.00,1.00,0.95,
System.IO.Tests.Perf_StreamWriter.WriteCharArray(writeLength: 100),1.00,1.00,0.93,
System.IO.Tests.Perf_StreamWriter.WritePartialCharArray(writeLength: 100),1.00,1.00,1.00,
System.IO.Tests.Perf_StreamWriter.WriteString(writeLength: 100),1.00,1.00,1.02,
BenchmarksGame.FannkuchRedux_5.RunBench(n: 10; expectedSum: 38),1.00,1.00,0.99,
MicroBenchmarks.Serializers.Binary_FromStream<LoginViewModel>.BinaryFormatter_,1.00,1.00,1.00,
MicroBenchmarks.Serializers.Binary_FromStream<LoginViewModel>.ProtoBuffNet,1.00,1.00,1.01,
MicroBenchmarks.Serializers.Binary_FromStream<LoginViewModel>.MessagePack_,1.00,1.00,0.95,
MicroBenchmarks.Serializers.Json_FromStream<MyEventsListerViewModel>.Jil_,1.00,1.00,0.97,
MicroBenchmarks.Serializers.Json_FromStream<MyEventsListerViewModel>.JsonNet_,1.00,1.00,1.00,
MicroBenchmarks.Serializers.Json_FromStream<MyEventsListerViewModel>.Utf8Json_,1.00,1.00,0.99,
MicroBenchmarks.Serializers.Json_FromStream<MyEventsListerViewModel>.DataContractJsonSerializer_,1.00,1.00,1.03,
MicroBenchmarks.Serializers.Binary_FromStream<CollectionsOfPrimitives>.BinaryFormatter_,1.00,1.00,1.03,
MicroBenchmarks.Serializers.Binary_FromStream<CollectionsOfPrimitives>.ProtoBuffNet,1.00,1.00,1.01,
MicroBenchmarks.Serializers.Binary_FromStream<CollectionsOfPrimitives>.MessagePack_,1.00,1.00,0.99,
System.Text.Json.Serialization.Tests.WriteJson<LoginViewModel>.SerializeToString,1.00,1.00,0.97,
System.Text.Json.Serialization.Tests.WriteJson<LoginViewModel>.SerializeToUtf8Bytes,1.00,1.00,0.99,
System.Text.Json.Serialization.Tests.WriteJson<LoginViewModel>.SerializeToStream,1.00,1.00,1.03,
System.Text.Json.Serialization.Tests.WriteJson<LoginViewModel>.SerializeObjectProperty,1.00,1.00,1.03,
System.IO.Pipes.Tests.Perf_AnonymousPipeStream_ServerOut_ClientIn.ReadWrite(size: 1000000),1.00,1.00,1.00,
MicroBenchmarks.Serializers.Json_FromString<MyEventsListerViewModel>.Jil_,1.00,1.00,0.97,
MicroBenchmarks.Serializers.Json_FromString<MyEventsListerViewModel>.JsonNet_,1.00,1.00,1.03,
MicroBenchmarks.Serializers.Json_FromString<MyEventsListerViewModel>.Utf8Json_,1.00,1.00,0.98,
System.Text.Json.Serialization.Tests.ReadJson<MyEventsListerViewModel>.DeserializeFromString,1.00,1.00,0.99,
System.Text.Json.Serialization.Tests.ReadJson<MyEventsListerViewModel>.DeserializeFromUtf8Bytes,1.00,1.00,0.97,
System.Text.Json.Serialization.Tests.ReadJson<MyEventsListerViewModel>.DeserializeFromStream,1.00,1.00,0.96,
System.Collections.TryAddDefaultSize<Int32>.Dictionary(Count: 512),1.00,1.00,0.99,
System.Collections.TryAddDefaultSize<Int32>.ConcurrentDictionary(Count: 512),1.00,1.00,0.97,
Lowering.InstructionReplacement.TESTtoBT,SMALL,SMALL,SMALL,
System.Collections.CreateAddAndClear<Int32>.Array(Size: 512),1.00,1.00,0.98,
System.Collections.CreateAddAndClear<Int32>.Span(Size: 512),1.00,1.00,0.95,
System.Collections.CreateAddAndClear<Int32>.List(Size: 512),1.00,1.00,1.02,
System.Collections.CreateAddAndClear<Int32>.ICollection(Size: 512),1.00,1.00,0.97,
System.Collections.CreateAddAndClear<Int32>.LinkedList(Size: 512),1.00,1.00,0.97,
System.Collections.CreateAddAndClear<Int32>.HashSet(Size: 512),1.00,1.00,1.03,
System.Collections.CreateAddAndClear<Int32>.Dictionary(Size: 512),1.00,1.00,1.00,
System.Collections.CreateAddAndClear<Int32>.IDictionary(Size: 512),1.00,1.00,1.03,
System.Collections.CreateAddAndClear<Int32>.SortedList(Size: 512),1.00,1.00,1.10,
System.Collections.CreateAddAndClear<Int32>.SortedSet(Size: 512),1.00,1.00,1.00,
System.Collections.CreateAddAndClear<Int32>.SortedDictionary(Size: 512),1.00,1.00,0.97,
System.Collections.CreateAddAndClear<Int32>.ConcurrentDictionary(Size: 512),1.00,1.00,0.99,
System.Collections.CreateAddAndClear<Int32>.Stack(Size: 512),1.00,1.00,0.98,
System.Collections.CreateAddAndClear<Int32>.ConcurrentStack(Size: 512),1.00,1.00,1.00,
System.Collections.CreateAddAndClear<Int32>.Queue(Size: 512),1.00,1.00,1.00,
System.Collections.CreateAddAndClear<Int32>.ConcurrentQueue(Size: 512),1.00,1.00,0.99,
System.Collections.CreateAddAndClear<Int32>.ConcurrentBag(Size: 512),1.00,1.00,0.94,
System.Collections.Tests.Perf_Dictionary.ContainsValue(Items: 3000),1.00,1.00,1.00,
System.Linq.Tests.Perf_Enumerable.Range,1.00,1.00,1.01,
System.Linq.Tests.Perf_Enumerable.Repeat,1.00,1.00,1.03,
System.Linq.Tests.Perf_Enumerable.EmptyTakeSelectToArray,1.00,1.00,1.02,
System.Linq.Tests.Perf_Enumerable.Select(input: Array),1.00,1.00,1.06,
System.Linq.Tests.Perf_Enumerable.Where(input: Array),1.00,1.00,1.02,
System.Linq.Tests.Perf_Enumerable.WhereSelect(input: Array),1.00,1.00,1.03,
System.Linq.Tests.Perf_Enumerable.WhereFirst_LastElementMatches(input: Array),1.00,1.00,1.01,
System.Linq.Tests.Perf_Enumerable.WhereLast_LastElementMatches(input: Array),1.00,1.00,1.02,
System.Linq.Tests.Perf_Enumerable.FirstWithPredicate_LastElementMatches(input: Array),1.00,1.00,1.02,
System.Linq.Tests.Perf_Enumerable.WhereAny_LastElementMatches(input: Array),1.00,1.00,0.99,
System.Linq.Tests.Perf_Enumerable.AnyWithPredicate_LastElementMatches(input: Array),1.00,1.00,0.98,
System.Linq.Tests.Perf_Enumerable.WhereSingle_LastElementMatches(input: Array),1.00,1.00,0.99,
System.Linq.Tests.Perf_Enumerable.WhereSingleOrDefault_LastElementMatches(input: Array),1.00,1.00,0.99,
System.Linq.Tests.Perf_Enumerable.SingleWithPredicate_LastElementMatches(input: Array),1.00,1.00,0.98,
System.Linq.Tests.Perf_Enumerable.SingleWithPredicate_FirstElementMatches(input: Array),1.00,1.00,0.99,
System.Linq.Tests.Perf_Enumerable.SelectToArray(input: Array),1.00,1.00,1.07,
System.Linq.Tests.Perf_Enumerable.SelectToList(input: Array),1.00,1.00,1.00,
System.Linq.Tests.Perf_Enumerable.ToDictionary(input: Array),1.00,1.00,1.02,
System.Linq.Tests.Perf_Enumerable.ToArray(input: ICollection),1.00,1.00,0.97,
System.Linq.Tests.Perf_Enumerable.ToList(input: ICollection),1.00,1.00,1.00,
System.Linq.Tests.Perf_Enumerable.Contains_ElementNotFound(input: ICollection),1.00,1.00,1.01,
System.Linq.Tests.Perf_Enumerable.Count(input: ICollection),SMALL,SMALL,SMALL,
System.Linq.Tests.Perf_Enumerable.Select(input: IEnumerable),1.00,1.00,1.00,
System.Linq.Tests.Perf_Enumerable.Where(input: IEnumerable),1.00,1.00,0.97,
System.Linq.Tests.Perf_Enumerable.WhereSelect(input: IEnumerable),1.00,1.00,0.99,
System.Linq.Tests.Perf_Enumerable.WhereFirst_LastElementMatches(input: IEnumerable),1.00,1.00,1.02,
System.Linq.Tests.Perf_Enumerable.WhereLast_LastElementMatches(input: IEnumerable),1.00,1.00,1.04,
System.Linq.Tests.Perf_Enumerable.FirstWithPredicate_LastElementMatches(input: IEnumerable),1.00,1.00,1.05,
System.Linq.Tests.Perf_Enumerable.LastWithPredicate_FirstElementMatches(input: IEnumerable),1.00,1.00,1.16,
System.Linq.Tests.Perf_Enumerable.WhereAny_LastElementMatches(input: IEnumerable),1.00,1.00,1.02,
System.Linq.Tests.Perf_Enumerable.AnyWithPredicate_LastElementMatches(input: IEnumerable),1.00,1.00,1.06,
System.Linq.Tests.Perf_Enumerable.All_AllElementsMatch(input: IEnumerable),1.00,1.00,1.00,
System.Linq.Tests.Perf_Enumerable.WhereSingle_LastElementMatches(input: IEnumerable),1.00,1.00,1.01,
System.Linq.Tests.Perf_Enumerable.WhereSingleOrDefault_LastElementMatches(input: IEnumerable),1.00,1.00,0.98,
System.Linq.Tests.Perf_Enumerable.SingleWithPredicate_LastElementMatches(input: IEnumerable),1.00,1.00,1.03,
System.Linq.Tests.Perf_Enumerable.SingleWithPredicate_FirstElementMatches(input: IEnumerable),1.00,1.00,0.96,
System.Linq.Tests.Perf_Enumerable.CastToBaseClass(input: IEnumerable),1.00,1.00,0.98,
System.Linq.Tests.Perf_Enumerable.CastToSameType(input: IEnumerable),1.00,1.00,1.00,
System.Linq.Tests.Perf_Enumerable.OrderBy(input: IEnumerable),1.00,1.00,1.00,
System.Linq.Tests.Perf_Enumerable.OrderByDescending(input: IEnumerable),1.00,1.00,1.01,
System.Linq.Tests.Perf_Enumerable.OrderByThenBy(input: IEnumerable),1.00,1.00,1.03,
System.Linq.Tests.Perf_Enumerable.Reverse(input: IEnumerable),1.00,1.00,1.02,
System.Linq.Tests.Perf_Enumerable.Skip_One(input: IEnumerable),1.00,1.00,1.02,
System.Linq.Tests.Perf_Enumerable.Take_All(input: IEnumerable),1.00,1.00,0.99,
System.Linq.Tests.Perf_Enumerable.TakeLastHalf(input: IEnumerable),1.00,1.00,1.00,
System.Linq.Tests.Perf_Enumerable.SkipHalfTakeHalf(input: IEnumerable),1.00,1.00,1.01,
System.Linq.Tests.Perf_Enumerable.ToArray(input: IEnumerable),1.00,1.00,1.01,
System.Linq.Tests.Perf_Enumerable.SelectToArray(input: IEnumerable),1.00,1.00,1.01,
System.Linq.Tests.Perf_Enumerable.ToList(input: IEnumerable),1.00,1.00,1.01,
System.Linq.Tests.Perf_Enumerable.SelectToList(input: IEnumerable),1.00,1.00,1.01,
System.Linq.Tests.Perf_Enumerable.ToDictionary(input: IEnumerable),1.00,1.00,0.98,
System.Linq.Tests.Perf_Enumerable.Contains_ElementNotFound(input: IEnumerable),1.00,1.00,1.12,
System.Linq.Tests.Perf_Enumerable.Concat_Once(input: IEnumerable),1.00,1.00,1.04,
System.Linq.Tests.Perf_Enumerable.Concat_TenTimes(input: IEnumerable),1.00,1.00,1.00,
System.Linq.Tests.Perf_Enumerable.Sum(input: IEnumerable),1.00,1.00,1.03,
System.Linq.Tests.Perf_Enumerable.Min(input: IEnumerable),1.00,1.00,0.99,
System.Linq.Tests.Perf_Enumerable.Max(input: IEnumerable),1.00,1.00,1.08,
System.Linq.Tests.Perf_Enumerable.Average(input: IEnumerable),1.00,1.00,1.00,
System.Linq.Tests.Perf_Enumerable.Count(input: IEnumerable),1.00,1.00,1.02,
System.Linq.Tests.Perf_Enumerable.Aggregate(input: IEnumerable),1.00,1.00,1.00,
System.Linq.Tests.Perf_Enumerable.Aggregate_Seed(input: IEnumerable),1.00,1.00,0.94,
System.Linq.Tests.Perf_Enumerable.Distinct(input: IEnumerable),1.00,1.00,1.00,
System.Linq.Tests.Perf_Enumerable.ElementAt(input: IEnumerable),1.00,1.00,1.02,
System.Linq.Tests.Perf_Enumerable.GroupBy(input: IEnumerable),1.00,1.00,1.00,
System.Linq.Tests.Perf_Enumerable.Zip(input: IEnumerable),1.00,1.00,1.04,
System.Linq.Tests.Perf_Enumerable.Intersect(input: IEnumerable),1.00,1.00,1.04,
System.Linq.Tests.Perf_Enumerable.Except(input: IEnumerable),1.00,1.00,1.05,
System.Linq.Tests.Perf_Enumerable.Append(input: IEnumerable),1.00,1.00,1.01,
System.Linq.Tests.Perf_Enumerable.Prepend(input: IEnumerable),1.00,1.00,1.01,
System.Linq.Tests.Perf_Enumerable.AppendPrepend(input: IEnumerable),1.00,1.00,0.91,
System.Linq.Tests.Perf_Enumerable.Select(input: IList),1.00,1.00,1.00,
System.Linq.Tests.Perf_Enumerable.LastWithPredicate_FirstElementMatches(input: IList),1.00,1.00,1.02,
System.Linq.Tests.Perf_Enumerable.SelectToArray(input: IList),1.00,1.00,1.01,
System.Linq.Tests.Perf_Enumerable.SelectToList(input: IList),1.00,1.00,1.02,
System.Linq.Tests.Perf_Enumerable.ElementAt(input: IList),1.00,1.00,1.02,
System.Linq.Tests.Perf_Enumerable.FirstWithPredicate_LastElementMatches(input: IOrderedEnumerable),1.00,1.00,0.96,
System.Linq.Tests.Perf_Enumerable.LastWithPredicate_FirstElementMatches(input: IOrderedEnumerable),1.00,1.00,1.02,
System.Linq.Tests.Perf_Enumerable.AnyWithPredicate_LastElementMatches(input: IOrderedEnumerable),1.00,1.00,0.97,
System.Linq.Tests.Perf_Enumerable.Select(input: List),1.00,1.00,0.96,
System.Linq.Tests.Perf_Enumerable.Where(input: List),1.00,1.00,0.99,
System.Linq.Tests.Perf_Enumerable.WhereSelect(input: List),1.00,1.00,0.98,
System.Linq.Tests.Perf_Enumerable.WhereFirst_LastElementMatches(input: List),1.00,1.00,1.00,
System.Linq.Tests.Perf_Enumerable.WhereLast_LastElementMatches(input: List),1.00,1.00,0.96,
System.Linq.Tests.Perf_Enumerable.FirstWithPredicate_LastElementMatches(input: List),1.00,1.00,0.96,
System.Linq.Tests.Perf_Enumerable.WhereAny_LastElementMatches(input: List),1.00,1.00,0.96,
System.Linq.Tests.Perf_Enumerable.AnyWithPredicate_LastElementMatches(input: List),1.00,1.00,0.98,
System.Linq.Tests.Perf_Enumerable.WhereSingle_LastElementMatches(input: List),1.00,1.00,0.99,
System.Linq.Tests.Perf_Enumerable.WhereSingleOrDefault_LastElementMatches(input: List),1.00,1.00,0.99,
System.Linq.Tests.Perf_Enumerable.SingleWithPredicate_LastElementMatches(input: List),1.00,1.00,1.00,
System.Linq.Tests.Perf_Enumerable.SingleWithPredicate_FirstElementMatches(input: List),1.00,1.00,1.01,
System.Linq.Tests.Perf_Enumerable.TakeLastHalf(input: List),1.00,1.00,1.03,
System.Linq.Tests.Perf_Enumerable.SelectToArray(input: List),1.00,1.00,0.99,
System.Linq.Tests.Perf_Enumerable.SelectToList(input: List),1.00,1.00,1.00,
System.Linq.Tests.Perf_Enumerable.ToDictionary(input: List),1.00,1.00,1.01,
System.Linq.Tests.Perf_Enumerable.SelectToArray(input: Range),1.00,1.00,1.02,
System.Linq.Tests.Perf_Enumerable.SelectToList(input: Range),1.00,1.00,1.02,
System.Security.Cryptography.X509Certificates.Tests.X509Certificate2Tests.CertProp,1.00,1.00,0.95,
MicroBenchmarks.Serializers.Json_ToStream<MyEventsListerViewModel>.Jil_,1.00,1.00,1.01,
MicroBenchmarks.Serializers.Json_ToStream<MyEventsListerViewModel>.JsonNet_,1.00,1.00,0.98,
MicroBenchmarks.Serializers.Json_ToStream<MyEventsListerViewModel>.Utf8Json_,1.00,1.00,0.98,
MicroBenchmarks.Serializers.Json_ToStream<MyEventsListerViewModel>.DataContractJsonSerializer_,1.00,1.00,1.04,
MicroBenchmarks.Serializers.Json_FromStream<Location>.Jil_,1.00,1.00,1.03,
MicroBenchmarks.Serializers.Json_FromStream<Location>.JsonNet_,1.00,1.00,1.00,
MicroBenchmarks.Serializers.Json_FromStream<Location>.Utf8Json_,1.00,1.00,0.99,
