Benchmark,dotnet_core,mono_interpreter,mono_jit
System.Tests.Perf_Random.ctor,1.00,5.81,1.68,
System.Tests.Perf_Random.Next_int,1.00,10.30,1.16,
System.Tests.Perf_Random.Next_int_int,1.00,12.69,1.43,
System.Tests.Perf_Random.NextBytes,1.00,9.46,1.18,
System.Tests.Perf_Random.NextDouble,1.00,12.96,1.48,
BenchmarksGame.RegexRedux_5.RunBench(options: None),1.00,29.95,3.27,
BenchmarksGame.RegexRedux_5.RunBench(options: Compiled),1.00,68.97,5.83,
System.Globalization.Tests.Perf_DateTimeCultureInfo.ToStringHebrewIsrael,1.00,47.38,2.45,
System.Globalization.Tests.Perf_DateTimeCultureInfo.ToString(culturestring: ),1.00,27.74,2.22,
System.Globalization.Tests.Perf_DateTimeCultureInfo.Parse(culturestring: ),1.00,48.93,2.48,
System.Globalization.Tests.Perf_DateTimeCultureInfo.ToString(culturestring: da),1.00,27.36,2.20,
System.Globalization.Tests.Perf_DateTimeCultureInfo.Parse(culturestring: da),1.00,48.87,2.52,
System.Globalization.Tests.Perf_DateTimeCultureInfo.ToString(culturestring: fr),1.00,27.90,2.22,
System.Globalization.Tests.Perf_DateTimeCultureInfo.Parse(culturestring: fr),1.00,48.61,2.48,
System.Globalization.Tests.Perf_DateTimeCultureInfo.ToString(culturestring: ja),1.00,28.86,2.26,
System.Globalization.Tests.Perf_DateTimeCultureInfo.Parse(culturestring: ja),1.00,12.66,1.22,
MicroBenchmarks.Serializers.Xml_FromStream<Location>.XmlSerializer_,1.00,46.73,2.64,
MicroBenchmarks.Serializers.Xml_FromStream<Location>.DataContractSerializer_,1.00,32.50,1.63,
System.Text.Tests.Perf_Encoding.GetBytes(size: 16; encName: "ascii"),1.00,66.85,1.96,
System.Text.Tests.Perf_Encoding.GetString(size: 16; encName: "ascii"),1.00,65.64,5.40,
System.Text.Tests.Perf_Encoding.GetChars(size: 16; encName: "ascii"),1.00,63.04,5.32,
System.Text.Tests.Perf_Encoding.GetEncoder(size: 16; encName: "ascii"),1.00,12.70,1.36,
System.Text.Tests.Perf_Encoding.GetByteCount(size: 16; encName: "ascii"),1.00,28.18,1.64,
System.Text.Tests.Perf_Encoding.GetBytes(size: 16; encName: "utf-8"),1.00,90.95,3.56,
System.Text.Tests.Perf_Encoding.GetString(size: 16; encName: "utf-8"),1.00,75.55,6.66,
System.Text.Tests.Perf_Encoding.GetChars(size: 16; encName: "utf-8"),1.00,50.49,5.22,
System.Text.Tests.Perf_Encoding.GetEncoder(size: 16; encName: "utf-8"),1.00,13.45,1.41,
System.Text.Tests.Perf_Encoding.GetByteCount(size: 16; encName: "utf-8"),1.00,31.99,4.15,
System.Text.Tests.Perf_Encoding.GetBytes(size: 512; encName: "ascii"),1.00,457.82,33.36,
System.Text.Tests.Perf_Encoding.GetString(size: 512; encName: "ascii"),1.00,321.85,30.99,
System.Text.Tests.Perf_Encoding.GetChars(size: 512; encName: "ascii"),1.00,313.73,30.28,
System.Text.Tests.Perf_Encoding.GetEncoder(size: 512; encName: "ascii"),1.00,13.42,1.36,
System.Text.Tests.Perf_Encoding.GetByteCount(size: 512; encName: "ascii"),1.00,27.70,1.63,
System.Text.Tests.Perf_Encoding.GetBytes(size: 512; encName: "utf-8"),1.00,348.97,25.20,
System.Text.Tests.Perf_Encoding.GetString(size: 512; encName: "utf-8"),1.00,269.95,25.86,
System.Text.Tests.Perf_Encoding.GetChars(size: 512; encName: "utf-8"),1.00,279.73,26.07,
System.Text.Tests.Perf_Encoding.GetEncoder(size: 512; encName: "utf-8"),1.00,13.14,1.41,
System.Text.Tests.Perf_Encoding.GetByteCount(size: 512; encName: "utf-8"),1.00,106.62,6.58,
System.Collections.CtorDefaultSizeNonGeneric.ArrayList,1.00,6.66,1.17,
System.Collections.CtorDefaultSizeNonGeneric.Hashtable,1.00,7.93,1.39,
System.Collections.CtorDefaultSizeNonGeneric.Queue,1.00,6.49,1.43,
System.Collections.CtorDefaultSizeNonGeneric.Stack,1.00,8.35,1.49,
System.Collections.CtorDefaultSizeNonGeneric.SortedList,1.00,6.62,0.85,
System.IO.Tests.Perf_Path.Combine,1.00,29.98,2.12,
System.IO.Tests.Perf_Path.GetFileName,1.00,34.77,1.77,
System.IO.Tests.Perf_Path.GetDirectoryName,1.00,25.64,2.49,
System.IO.Tests.Perf_Path.ChangeExtension,1.00,65.35,3.17,
System.IO.Tests.Perf_Path.GetExtension,1.00,32.95,1.51,
System.IO.Tests.Perf_Path.GetFileNameWithoutExtension,1.00,31.02,1.78,
System.IO.Tests.Perf_Path.GetFullPathForLegacyLength,1.00,25.42,1.96,
System.IO.Tests.Perf_Path.GetFullPathForTypicalLongPath,1.00,29.81,2.28,
System.IO.Tests.Perf_Path.GetFullPathForReallyLongPath,1.00,32.12,2.50,
System.IO.Tests.Perf_Path.GetPathRoot,SMALL,SMALL,SMALL,
System.IO.Tests.Perf_Path.GetRandomFileName,1.00,9.50,2.04,
System.IO.Tests.Perf_Path.GetTempPath,1.00,2.78,1.51,
System.IO.Tests.Perf_Path.HasExtension,1.00,18.92,1.88,
System.IO.Tests.Perf_Path.IsPathRooted,1.00,20.79,1.86,
System.Text.Json.Serialization.Tests.ReadJson<Dictionary<String; String>>.DeserializeFromString,1.00,82.88,3.81,
System.Text.Json.Serialization.Tests.ReadJson<Dictionary<String; String>>.DeserializeFromUtf8Bytes,1.00,71.08,2.85,
System.Text.Json.Serialization.Tests.ReadJson<Dictionary<String; String>>.DeserializeFromStream,1.00,67.15,2.69,
Benchstone.BenchI.Pi.Test,1.00,4.06,1.15,
System.Collections.ContainsTrue<Int32>.Array(Size: 512),1.00,401.21,3.31,
System.Collections.ContainsTrue<Int32>.Span(Size: 512),1.00,451.09,3.29,
System.Collections.ContainsTrue<Int32>.List(Size: 512),1.00,423.68,3.26,
System.Collections.ContainsTrue<Int32>.ICollection(Size: 512),1.00,402.82,3.17,
System.Collections.ContainsTrue<Int32>.LinkedList(Size: 512),1.00,73.19,2.50,
System.Collections.ContainsTrue<Int32>.HashSet(Size: 512),1.00,48.94,2.79,
System.Collections.ContainsTrue<Int32>.Queue(Size: 512),1.00,402.92,3.15,
System.Collections.ContainsTrue<Int32>.Stack(Size: 512),1.00,215.15,2.42,
System.Collections.ContainsTrue<Int32>.SortedSet(Size: 512),1.00,23.69,1.44,
System.Collections.ContainsTrue<Int32>.ImmutableArray(Size: 512),1.00,400.03,3.62,
System.Collections.ContainsTrue<Int32>.ImmutableHashSet(Size: 512),1.00,11.20,1.19,
System.Collections.ContainsTrue<Int32>.ImmutableList(Size: 512),1.00,36.17,1.77,
System.Collections.ContainsTrue<Int32>.ImmutableSortedSet(Size: 512),1.00,24.13,1.53,
PerfLabTests.BlockCopyPerf.CallBlockCopy(numElements: 0),1.00,73.35,1.96,
PerfLabTests.BlockCopyPerf.CallBlockCopy(numElements: 10),1.00,97.59,2.07,
PerfLabTests.BlockCopyPerf.CallBlockCopy(numElements: 100),1.00,150.87,6.43,
PerfLabTests.BlockCopyPerf.CallBlockCopy(numElements: 1000),1.00,149.57,14.95,
System.Collections.IterateFor<String>.Array(Size: 512),1.00,16.75,1.66,
System.Collections.IterateFor<String>.Span(Size: 512),1.00,18.79,1.92,
System.Collections.IterateFor<String>.ReadOnlySpan(Size: 512),1.00,19.17,1.96,
System.Collections.IterateFor<String>.List(Size: 512),1.00,57.85,12.89,
System.Collections.IterateFor<String>.IList(Size: 512),1.00,13.59,1.89,
System.Collections.IterateFor<String>.ImmutableArray(Size: 512),1.00,19.20,19.56,
System.Collections.IterateFor<String>.ImmutableList(Size: 512),1.00,18.33,3.70,
System.Collections.IterateFor<String>.ImmutableSortedSet(Size: 512),1.00,16.34,3.93,
System.Tests.Perf_UInt16.Parse(value: "0"),1.00,20.68,1.52,
System.Tests.Perf_UInt16.TryParse(value: "0"),1.00,21.63,1.57,
System.Tests.Perf_UInt16.ToString(value: 0),SMALL,SMALL,SMALL,
System.Tests.Perf_UInt16.Parse(value: "12345"),1.00,22.75,1.76,
System.Tests.Perf_UInt16.TryParse(value: "12345"),1.00,23.03,1.79,
System.Tests.Perf_UInt16.ToString(value: 12345),1.00,27.59,1.56,
System.Tests.Perf_UInt16.Parse(value: "65535"),1.00,22.67,1.76,
System.Tests.Perf_UInt16.TryParse(value: "65535"),1.00,23.00,1.78,
System.Tests.Perf_UInt16.ToString(value: 65535),1.00,28.01,1.57,
System.Text.Tests.Perf_StringBuilder.AppendLine_Strings,1.00,16.03,2.05,
System.Text.Tests.Perf_StringBuilder.Append_Primitives,1.00,49.84,1.97,
System.Text.Tests.Perf_StringBuilder.Append_ValueTypes,1.00,49.73,1.97,
System.Text.Tests.Perf_StringBuilder.Append_Memory,1.00,19.75,3.62,
System.Text.Tests.Perf_StringBuilder.Insert_Strings,1.00,17.23,1.62,
System.Text.Tests.Perf_StringBuilder.Append_Strings(repeat: 1),1.00,15.47,2.11,
System.Text.Tests.Perf_StringBuilder.ctor_string(length: 100),1.00,14.06,3.91,
System.Text.Tests.Perf_StringBuilder.ctor_capacity(length: 100),1.00,6.84,1.48,
System.Text.Tests.Perf_StringBuilder.ToString_SingleSegment(length: 100),1.00,20.02,4.80,
System.Text.Tests.Perf_StringBuilder.ToString_MultipleSegments(length: 100),1.00,28.69,3.68,
System.Text.Tests.Perf_StringBuilder.Append_Char(length: 100),1.00,13.94,1.38,
System.Text.Tests.Perf_StringBuilder.Append_Char_Capacity(length: 100),1.00,16.98,1.56,
System.Text.Tests.Perf_StringBuilder.Append_Strings(repeat: 1000),1.00,22.97,4.02,
System.Text.Tests.Perf_StringBuilder.ctor_string(length: 100000),1.00,7.32,7.79,
System.Text.Tests.Perf_StringBuilder.ctor_capacity(length: 100000),1.00,12.57,13.03,
System.Text.Tests.Perf_StringBuilder.ToString_SingleSegment(length: 100000),1.00,5.30,5.66,
System.Text.Tests.Perf_StringBuilder.ToString_MultipleSegments(length: 100000),1.00,5.39,5.39,
System.Text.Tests.Perf_StringBuilder.Append_Char(length: 100000),1.00,15.23,1.70,
System.Text.Tests.Perf_StringBuilder.Append_Char_Capacity(length: 100000),1.00,17.94,1.85,
MicroBenchmarks.Serializers.Xml_FromStream<ClassImplementingIXmlSerialiable>.XmlSerializer_,1.00,46.73,2.78,
MicroBenchmarks.Serializers.Xml_FromStream<ClassImplementingIXmlSerialiable>.DataContractSerializer_,1.00,33.94,1.60,
System.Memory.ReadOnlySequence.Slice_StartPosition(Segment: Single),1.00,24.17,3.19,
System.Memory.ReadOnlySequence.Slice_Start(Segment: Single),1.00,4.76,1.06,
System.Memory.ReadOnlySequence.Slice_Start_And_Length(Segment: Single),1.00,15.86,2.14,
System.Memory.ReadOnlySequence.Slice_Start_And_EndPosition(Segment: Single),1.00,29.09,4.29,
System.Memory.ReadOnlySequence.Slice_StartPosition_And_Length(Segment: Single),1.00,28.54,4.29,
System.Memory.ReadOnlySequence.Slice_StartPosition_And_EndPosition(Segment: Single),1.00,28.51,3.14,
System.Memory.ReadOnlySequence.Slice_Repeat(Segment: Single),1.00,14.10,1.49,
System.Memory.ReadOnlySequence.Slice_Repeat_StartPosition_And_EndPosition(Segment: Single),1.00,41.85,4.14,
System.Memory.ReadOnlySequence.Slice_StartPosition(Segment: Multiple),1.00,15.13,1.80,
System.Memory.ReadOnlySequence.Slice_Start(Segment: Multiple),1.00,4.94,1.12,
System.Memory.ReadOnlySequence.Slice_Start_And_Length(Segment: Multiple),1.00,15.81,2.12,
System.Memory.ReadOnlySequence.Slice_Start_And_EndPosition(Segment: Multiple),1.00,19.19,2.59,
System.Memory.ReadOnlySequence.Slice_StartPosition_And_Length(Segment: Multiple),1.00,18.93,2.65,
System.Memory.ReadOnlySequence.Slice_StartPosition_And_EndPosition(Segment: Multiple),1.00,16.37,1.65,
System.Memory.ReadOnlySequence.Slice_Repeat(Segment: Multiple),1.00,15.79,1.74,
System.Memory.ReadOnlySequence.Slice_Repeat_StartPosition_And_EndPosition(Segment: Multiple),1.00,18.71,1.87,
MicroBenchmarks.Serializers.Json_ToString<LoginViewModel>.Jil_,1.00,18.49,1.55,
MicroBenchmarks.Serializers.Json_ToString<LoginViewModel>.JsonNet_,1.00,28.56,1.66,
MicroBenchmarks.Serializers.Json_ToString<LoginViewModel>.Utf8Json_,1.00,69.37,4.31,
System.Collections.IndexerSetReverse<String>.Array(Size: 512),1.00,34.14,6.81,
System.Collections.IndexerSetReverse<String>.Span(Size: 512),1.00,22.72,1.87,
System.Collections.IndexerSetReverse<String>.List(Size: 512),1.00,29.26,4.78,
System.Collections.IndexerSetReverse<String>.IList(Size: 512),1.00,10.98,1.74,
PerfLabTests.CastingPerf2.CastingPerf.ObjFooIsObj,1.00,3.60,0.60,
PerfLabTests.CastingPerf2.CastingPerf.FooObjIsFoo,1.00,3.93,0.82,
PerfLabTests.CastingPerf2.CastingPerf.FooObjIsNull,1.00,3.39,0.50,
PerfLabTests.CastingPerf2.CastingPerf.FooObjIsDescendant,1.00,2.74,0.47,
PerfLabTests.CastingPerf2.CastingPerf.IFooFooIsIFoo,1.00,3.40,0.50,
PerfLabTests.CastingPerf2.CastingPerf.IFooObjIsIFoo,1.00,2.08,0.41,
PerfLabTests.CastingPerf2.CastingPerf.IFooObjIsIFooInterAlia,1.00,2.78,0.47,
PerfLabTests.CastingPerf2.CastingPerf.IFooObjIsDescendantOfIFoo,1.00,2.08,0.41,
PerfLabTests.CastingPerf2.CastingPerf.ObjInt,1.00,7.22,1.03,
PerfLabTests.CastingPerf2.CastingPerf.IntObj,1.00,10.46,1.63,
PerfLabTests.CastingPerf2.CastingPerf.ObjScalarValueType,1.00,8.60,1.00,
PerfLabTests.CastingPerf2.CastingPerf.ScalarValueTypeObj,1.00,13.68,2.16,
PerfLabTests.CastingPerf2.CastingPerf.ObjObjrefValueType,1.00,5.32,0.79,
PerfLabTests.CastingPerf2.CastingPerf.ObjrefValueTypeObj,1.00,2.87,0.55,
PerfLabTests.CastingPerf2.CastingPerf.FooObjCastIfIsa,1.00,3.76,0.61,
System.Text.Json.Serialization.Tests.WriteJson<ImmutableSortedDictionary<String; String>>.SerializeT...,1.00,60.91,5.37,
System.Text.Json.Serialization.Tests.WriteJson<ImmutableSortedDictionary<String; String>>.SerializeT...,1.00,47.30,4.04,
System.Text.Json.Serialization.Tests.WriteJson<ImmutableSortedDictionary<String; String>>.SerializeT...,1.00,48.67,4.06,
System.Text.Json.Serialization.Tests.WriteJson<ImmutableSortedDictionary<String; String>>.SerializeO...,1.00,79.46,5.86,
System.Text.Json.Serialization.Tests.ReadJson<IndexViewModel>.DeserializeFromString,1.00,112.86,4.93,
System.Text.Json.Serialization.Tests.ReadJson<IndexViewModel>.DeserializeFromUtf8Bytes,1.00,95.16,3.44,
System.Text.Json.Serialization.Tests.ReadJson<IndexViewModel>.DeserializeFromStream,1.00,88.21,3.21,
System.Threading.Channels.Tests.BoundedChannelPerfTests.TryWriteThenTryRead,1.00,21.91,2.20,
System.Threading.Channels.Tests.BoundedChannelPerfTests.WriteAsyncThenReadAsync,1.00,25.27,1.85,
System.Threading.Channels.Tests.BoundedChannelPerfTests.ReadAsyncThenWriteAsync,1.00,24.56,1.80,
System.Threading.Channels.Tests.BoundedChannelPerfTests.PingPong,1.00,15.39,1.27,
Microsoft.AspNetCore.Server.Kestrel.Performance.PipeThroughputBenchmark.Parse_ParallelAsync(Length: ...,1.00,50.35,7.73,
Microsoft.AspNetCore.Server.Kestrel.Performance.PipeThroughputBenchmark.Parse_SequentialAsync(Length...,1.00,35.60,1.64,
Microsoft.AspNetCore.Server.Kestrel.Performance.PipeThroughputBenchmark.Parse_ParallelAsync(Length: ...,1.00,37.03,5.56,
Microsoft.AspNetCore.Server.Kestrel.Performance.PipeThroughputBenchmark.Parse_SequentialAsync(Length...,1.00,28.38,1.86,
Microsoft.AspNetCore.Server.Kestrel.Performance.PipeThroughputBenchmark.Parse_ParallelAsync(Length: ...,1.00,34.45,5.91,
Microsoft.AspNetCore.Server.Kestrel.Performance.PipeThroughputBenchmark.Parse_SequentialAsync(Length...,1.00,34.91,1.67,
Microsoft.AspNetCore.Server.Kestrel.Performance.PipeThroughputBenchmark.Parse_ParallelAsync(Length: ...,1.00,35.88,5.74,
Microsoft.AspNetCore.Server.Kestrel.Performance.PipeThroughputBenchmark.Parse_SequentialAsync(Length...,1.00,28.86,1.84,
MicroBenchmarks.Serializers.Json_ToString<IndexViewModel>.Jil_,1.00,22.14,2.35,
MicroBenchmarks.Serializers.Json_ToString<IndexViewModel>.JsonNet_,1.00,26.42,2.13,
MicroBenchmarks.Serializers.Json_ToString<IndexViewModel>.Utf8Json_,1.00,57.51,5.86,
System.Memory.Span<Int32>.Clear(Size: 512),1.00,18.42,1.08,
System.Memory.Span<Int32>.Fill(Size: 512),1.00,36.52,1.56,
System.Memory.Span<Int32>.Reverse(Size: 512),1.00,242.14,2.43,
System.Memory.Span<Int32>.ToArray(Size: 512),1.00,40.06,6.38,
System.Memory.Span<Int32>.SequenceEqual(Size: 512),1.00,489.80,6.04,
System.Memory.Span<Int32>.SequenceCompareTo(Size: 512),1.00,183.55,2.45,
System.Memory.Span<Int32>.StartsWith(Size: 512),1.00,454.72,6.22,
System.Memory.Span<Int32>.EndsWith(Size: 512),1.00,444.99,6.30,
System.Memory.Span<Int32>.IndexOfValue(Size: 512),1.00,494.03,3.82,
System.Memory.Span<Int32>.IndexOfAnyTwoValues(Size: 512),1.00,200.02,3.54,
System.Memory.Span<Int32>.IndexOfAnyThreeValues(Size: 512),1.00,151.98,3.39,
System.Memory.Span<Int32>.IndexOfAnyFourValues(Size: 512),1.00,484.17,3.71,
System.Memory.Span<Int32>.LastIndexOfValue(Size: 512),1.00,242.27,2.67,
System.Memory.Span<Int32>.LastIndexOfAnyValues(Size: 512),1.00,207.83,3.68,
System.Memory.Span<Int32>.BinarySearch(Size: 512),1.00,63.76,2.10,
System.Memory.Span<Int32>.GetPinnableReference(Size: 512),SMALL,SMALL,SMALL,
System.Threading.Tests.Perf_Lock.ReaderWriterLockSlimPerf,1.00,16.59,1.22,
Benchstone.BenchF.Secant.Test,1.00,7.71,1.70,
MicroBenchmarks.Serializers.Xml_ToStream<Location>.XmlSerializer_,1.00,49.78,2.88,
MicroBenchmarks.Serializers.Xml_ToStream<Location>.DataContractSerializer_,1.00,35.85,2.23,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.Email_IsMatch(Options: None),1.00,40.31,3.57,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.Email_IsNotMatch(Options: None),1.00,53.03,4.76,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.Date_IsMatch(Options: None),1.00,100.87,7.66,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.Date_IsNotMatch(Options: None),1.00,122.44,9.22,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.IP_IsMatch(Options: None),1.00,72.86,6.89,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.IP_IsNotMatch(Options: None),1.00,66.82,6.44,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.Uri_IsMatch(Options: None),1.00,86.36,5.88,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.Uri_IsNotMatch(Options: None),1.00,102.24,7.20,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.MatchesSet(Options: None),1.00,74.01,6.15,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.MatchesBoundary(Options: None),1.00,78.62,6.35,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.MatchesWord(Options: None),1.00,12.26,1.63,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.MatchesWords(Options: None),1.00,24.56,2.73,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.MatchWord(Options: None),1.00,25.54,2.83,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.ReplaceWords(Options: None),1.00,25.67,2.80,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.SplitWords(Options: None),1.00,26.05,2.93,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.Ctor(Options: None),1.00,30.28,1.56,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.CtorInvoke(Options: None),1.00,32.60,1.86,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.Email_IsMatch(Options: Compiled),1.00,66.30,5.12,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.Email_IsNotMatch(Options: Compiled),1.00,92.52,7.47,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.Date_IsMatch(Options: Compiled),1.00,218.65,16.73,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.Date_IsNotMatch(Options: Compiled),1.00,334.37,25.36,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.IP_IsMatch(Options: Compiled),1.00,170.80,14.60,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.IP_IsNotMatch(Options: Compiled),1.00,165.11,13.79,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.Uri_IsMatch(Options: Compiled),1.00,206.46,15.07,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.Uri_IsNotMatch(Options: Compiled),1.00,272.79,20.98,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.MatchesSet(Options: Compiled),1.00,242.87,20.44,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.MatchesBoundary(Options: Compiled),1.00,162.04,13.37,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.MatchesWord(Options: Compiled),1.00,16.06,1.11,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.MatchesWords(Options: Compiled),1.00,178.69,17.78,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.MatchWord(Options: Compiled),1.00,135.78,13.27,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.ReplaceWords(Options: Compiled),1.00,192.91,18.94,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.SplitWords(Options: Compiled),1.00,187.30,19.00,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.Ctor(Options: Compiled),1.00,25.93,3.69,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.CtorInvoke(Options: Compiled),1.00,10.30,11.27,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.Email_IsMatch(Options: IgnoreCase; Compiled),1.00,46.46,3.27,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.Email_IsNotMatch(Options: IgnoreCase; Compile...,1.00,63.44,4.82,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.Date_IsMatch(Options: IgnoreCase; Compiled),1.00,201.09,14.06,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.Date_IsNotMatch(Options: IgnoreCase; Compiled...,1.00,257.57,18.32,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.IP_IsMatch(Options: IgnoreCase; Compiled),1.00,84.66,6.97,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.IP_IsNotMatch(Options: IgnoreCase; Compiled),1.00,81.02,6.34,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.Uri_IsMatch(Options: IgnoreCase; Compiled),1.00,111.56,7.74,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.Uri_IsNotMatch(Options: IgnoreCase; Compiled),1.00,109.60,7.76,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.MatchesSet(Options: IgnoreCase; Compiled),1.00,91.40,7.18,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.MatchesBoundary(Options: IgnoreCase; Compiled...,1.00,92.34,7.11,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.MatchesWord(Options: IgnoreCase; Compiled),1.00,18.69,1.70,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.MatchesWords(Options: IgnoreCase; Compiled),1.00,55.45,4.71,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.MatchWord(Options: IgnoreCase; Compiled),1.00,53.95,4.47,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.ReplaceWords(Options: IgnoreCase; Compiled),1.00,54.28,4.60,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.SplitWords(Options: IgnoreCase; Compiled),1.00,56.82,4.80,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.Ctor(Options: IgnoreCase; Compiled),1.00,24.37,3.51,
System.Text.RegularExpressions.Tests.Perf_Regex_Common.CtorInvoke(Options: IgnoreCase; Compiled),1.00,9.14,9.79,
Benchstone.BenchF.SqMtx.Test,1.00,11.33,1.32,
Benchstone.BenchF.BenchMk2.Test,1.00,23.00,2.48,
BenchmarksGame.MandelBrot_7.Bench(size: 4000; lineLength: 500; checksum: "C7-E6-66-43-66-73-F8-A8-D3...,1.00,889.45,2.57,
System.IO.Compression.Deflate.Compress(level: Optimal; file: "TestDocument.pdf"),1.00,1.02,1.00,
System.IO.Compression.Deflate.Decompress(level: Optimal; file: "TestDocument.pdf"),1.00,1.33,1.05,
System.IO.Compression.Deflate.Compress(level: Optimal; file: "alice29.txt"),1.00,1.01,1.00,
System.IO.Compression.Deflate.Decompress(level: Optimal; file: "alice29.txt"),1.00,1.11,1.01,
System.IO.Compression.Deflate.Compress(level: Optimal; file: "sum"),1.00,1.01,1.00,
System.IO.Compression.Deflate.Decompress(level: Optimal; file: "sum"),1.00,1.24,1.09,
System.IO.Compression.Deflate.Compress(level: Fastest; file: "TestDocument.pdf"),1.00,1.01,0.99,
System.IO.Compression.Deflate.Decompress(level: Fastest; file: "TestDocument.pdf"),1.00,1.30,1.04,
System.IO.Compression.Deflate.Compress(level: Fastest; file: "alice29.txt"),1.00,1.02,1.00,
System.IO.Compression.Deflate.Decompress(level: Fastest; file: "alice29.txt"),1.00,1.13,1.02,
System.IO.Compression.Deflate.Compress(level: Fastest; file: "sum"),1.00,1.04,1.02,
System.IO.Compression.Deflate.Decompress(level: Fastest; file: "sum"),1.00,1.25,1.09,
System.IO.Tests.Perf_FileStream.ReadByte(BufferSize: 512; TotalSize: 200000),1.00,21.70,2.01,
System.IO.Tests.Perf_FileStream.Read(BufferSize: 512; TotalSize: 200000),1.00,15.47,2.11,
System.IO.Tests.Perf_FileStream.ReadAsync(BufferSize: 512; TotalSize: 200000),1.00,26.95,2.58,
System.IO.Tests.Perf_FileStream.CopyToAsync(BufferSize: 512; TotalSize: 200000),1.00,4.61,1.61,
System.IO.Tests.Perf_FileStream.WriteByte(BufferSize: 512; TotalSize: 200000),1.00,10.98,1.41,
System.IO.Tests.Perf_FileStream.Write(BufferSize: 512; TotalSize: 200000),1.00,2.05,1.12,
System.IO.Tests.Perf_FileStream.WriteAsync(BufferSize: 512; TotalSize: 200000),1.00,6.73,1.35,
System.IO.Tests.Perf_FileStream.ReadByte(BufferSize: 200000; TotalSize: 200000),1.00,21.74,2.03,
System.IO.Tests.Perf_FileStream.Read(BufferSize: 200000; TotalSize: 200000),1.00,2.04,1.19,
System.IO.Tests.Perf_FileStream.ReadAsync(BufferSize: 200000; TotalSize: 200000),1.00,2.89,1.16,
System.IO.Tests.Perf_FileStream.CopyToAsync(BufferSize: 200000; TotalSize: 200000),1.00,4.64,1.63,
System.IO.Tests.Perf_FileStream.WriteByte(BufferSize: 200000; TotalSize: 200000),1.00,10.82,1.39,
System.IO.Tests.Perf_FileStream.Write(BufferSize: 200000; TotalSize: 200000),1.00,1.14,1.00,
System.IO.Tests.Perf_FileStream.WriteAsync(BufferSize: 200000; TotalSize: 200000),1.00,1.19,1.03,
System.Text.Json.Serialization.Tests.WriteJson<HashSet<String>>.SerializeToString,1.00,81.73,7.23,
System.Text.Json.Serialization.Tests.WriteJson<HashSet<String>>.SerializeToUtf8Bytes,1.00,60.28,5.55,
System.Text.Json.Serialization.Tests.WriteJson<HashSet<String>>.SerializeToStream,1.00,62.27,5.43,
