Benchmark,dotnetcore_nollvm,mono_aa87d3db6d981426ecca6e2637238c8a211689a8_nollvm
MicroBenchmarks.Serializers.Xml_ToStream<SimpleStructWithProperties>.DataContractSerializer_,1.00,1.00,
MicroBenchmarks.Serializers.Binary_FromStream<Location>.BinaryFormatter_,1.00,1.00,
MicroBenchmarks.Serializers.Binary_FromStream<Location>.ProtoBuffNet,1.00,1.00,
MicroBenchmarks.Serializers.Binary_FromStream<Location>.MessagePack_,1.00,1.00,
Benchstone.BenchI.NDhrystone.Test,1.00,1.00,
Benchstone.BenchI.CSieve.Test,1.00,1.00,
FractalPerf.Launch.Test,1.00,1.00,
MicroBenchmarks.Serializers.Json_ToStream<Location>.Jil_,1.00,1.00,
MicroBenchmarks.Serializers.Json_ToStream<Location>.JsonNet_,1.00,1.00,
MicroBenchmarks.Serializers.Json_ToStream<Location>.Utf8Json_,1.00,1.00,
MicroBenchmarks.Serializers.Json_ToStream<Location>.DataContractJsonSerializer_,1.00,1.00,
BenchmarksGame.PiDigits_3.RunBench(n: 3000; expected: "8649423196\t:3000"),1.00,1.00,
Benchstone.BenchI.Permutate.Test,1.00,1.00,
Benchstone.BenchF.MatInv4.Test,1.00,1.00,
Benchstone.BenchI.BubbleSort.Test,1.00,1.00,
BenchmarksGame.RegexRedux_5.RunBench,1.00,1.00,
MicroBenchmarks.Serializers.Xml_FromStream<Location>.XmlSerializer_,1.00,1.00,
MicroBenchmarks.Serializers.Xml_FromStream<Location>.DataContractSerializer_,1.00,1.00,
Benchstone.BenchI.Pi.Test,1.00,1.00,
PerfLabTests.BlockCopyPerf.CallBlockCopy(numElements: 0),1.00,1.00,
PerfLabTests.BlockCopyPerf.CallBlockCopy(numElements: 10),1.00,1.00,
PerfLabTests.BlockCopyPerf.CallBlockCopy(numElements: 100),1.00,1.00,
PerfLabTests.BlockCopyPerf.CallBlockCopy(numElements: 1000),1.00,1.00,
MicroBenchmarks.Serializers.Xml_FromStream<ClassImplementingIXmlSerialiable>.XmlSerializer_,1.00,1.00,
MicroBenchmarks.Serializers.Xml_FromStream<ClassImplementingIXmlSerialiable>.DataContractSerializer_,1.00,1.00,
MicroBenchmarks.Serializers.Json_ToString<LoginViewModel>.Jil_,1.00,1.00,
MicroBenchmarks.Serializers.Json_ToString<LoginViewModel>.JsonNet_,1.00,1.00,
MicroBenchmarks.Serializers.Json_ToString<LoginViewModel>.Utf8Json_,1.00,1.00,
PerfLabTests.CastingPerf2.CastingPerf.ObjFooIsObj,1.00,1.00,
PerfLabTests.CastingPerf2.CastingPerf.FooObjIsFoo,1.00,1.00,
PerfLabTests.CastingPerf2.CastingPerf.FooObjIsNull,1.00,1.00,
PerfLabTests.CastingPerf2.CastingPerf.FooObjIsDescendant,1.00,1.00,
PerfLabTests.CastingPerf2.CastingPerf.IFooFooIsIFoo,1.00,1.00,
PerfLabTests.CastingPerf2.CastingPerf.IFooObjIsIFoo,1.00,1.00,
PerfLabTests.CastingPerf2.CastingPerf.IFooObjIsIFooInterAlia,1.00,1.00,
PerfLabTests.CastingPerf2.CastingPerf.IFooObjIsDescendantOfIFoo,1.00,1.00,
PerfLabTests.CastingPerf2.CastingPerf.ObjInt,1.00,1.00,
PerfLabTests.CastingPerf2.CastingPerf.IntObj,1.00,1.00,
PerfLabTests.CastingPerf2.CastingPerf.ObjScalarValueType,1.00,1.00,
PerfLabTests.CastingPerf2.CastingPerf.ScalarValueTypeObj,1.00,1.00,
PerfLabTests.CastingPerf2.CastingPerf.ObjObjrefValueType,1.00,1.00,
PerfLabTests.CastingPerf2.CastingPerf.ObjrefValueTypeObj,1.00,1.00,
PerfLabTests.CastingPerf2.CastingPerf.FooObjCastIfIsa,1.00,1.00,
Microsoft.AspNetCore.Server.Kestrel.Performance.PipeThroughputBenchmark.Parse_ParallelAsync(Length: ...,1.00,1.00,
Microsoft.AspNetCore.Server.Kestrel.Performance.PipeThroughputBenchmark.Parse_SequentialAsync(Length...,1.00,1.00,
Microsoft.AspNetCore.Server.Kestrel.Performance.PipeThroughputBenchmark.Parse_ParallelAsync(Length: ...,1.00,1.00,
Microsoft.AspNetCore.Server.Kestrel.Performance.PipeThroughputBenchmark.Parse_SequentialAsync(Length...,1.00,1.00,
